ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-14||Samford|W|80|40|26|47|.553|9|21|.429|19|31|.613|6|41|21|6|9|15|16||15|66|.227|3|20|.150|7|11|.636|9|27|9|8|2|12|24
2|2|2014-11-16||IUPUI|W|77|57|25|50|.500|8|17|.471|19|31|.613|9|26|14|9|8|15|18||19|46|.413|6|16|.375|13|17|.765|9|25|10|7|0|20|32
3|3|2014-11-20||Grambling|W|82|30|31|63|.492|9|25|.360|11|17|.647|15|40|24|11|3|13|16||11|41|.268|4|15|.267|4|12|.333|4|23|4|1|0|24|19
4|4|2014-11-24|N|Kansas State|L|79|88|28|51|.549|9|22|.409|14|20|.700|5|23|19|3|5|12|20||32|60|.533|7|18|.389|17|28|.607|10|28|18|9|2|8|18
5|5|2014-11-25|N|Missouri|W|82|61|22|47|.468|5|14|.357|33|43|.767|13|39|12|6|8|15|20||19|55|.345|7|20|.350|16|20|.800|7|22|9|7|3|15|29
6|6|2014-11-26|N|Brigham Young|W (1 OT)|87|85|27|59|.458|5|17|.294|28|36|.778|9|31|14|6|8|16|23||27|62|.435|7|21|.333|24|32|.750|8|30|14|9|7|11|30
7|7|2014-12-02||North Carolina State|W|66|61|22|56|.393|7|20|.350|15|22|.682|15|36|16|3|2|10|17||22|49|.449|5|11|.455|12|19|.632|9|28|11|4|3|9|19
8|8|2014-12-06||North Florida|L|70|73|29|74|.392|4|19|.211|8|16|.500|21|46|18|8|6|14|22||25|59|.424|10|22|.455|13|25|.520|12|33|15|7|4|15|16
9|9|2014-12-08||IPFW|W|63|43|25|58|.431|5|17|.294|8|11|.727|12|38|18|6|10|13|16||16|56|.286|4|15|.267|7|15|.467|9|29|12|6|1|13|14
10|10|2014-12-10||Arkansas State|W|87|46|30|59|.508|9|23|.391|18|28|.643|11|36|21|5|8|10|12||17|57|.298|2|14|.143|10|14|.714|11|27|11|5|2|17|22
11|11|2014-12-13|@|Vanderbilt|L|71|81|26|55|.473|3|11|.273|16|23|.696|12|27|7|5|5|12|23||28|48|.583|9|14|.643|16|23|.696|6|23|17|4|4|12|21
12|12|2014-12-20|N|Notre Dame|L|63|94|24|61|.393|4|14|.286|11|15|.733|2|28|14|3|4|12|24||33|64|.516|8|17|.471|20|28|.714|6|36|18|5|4|7|18
13|13|2014-12-22||Gardner-Webb|L|84|89|32|68|.471|4|15|.267|16|21|.762|17|39|14|9|4|12|20||31|56|.554|14|25|.560|13|23|.565|8|24|21|5|3|13|17
14|14|2014-12-31||Minnesota|W|72|68|23|52|.442|4|11|.364|22|27|.815|10|31|20|3|3|12|17||23|53|.434|8|16|.500|14|20|.700|8|28|15|6|3|13|22
15|15|2015-01-03||Michigan|W|64|51|21|46|.457|3|13|.231|17|29|.586|11|42|12|7|3|13|17||15|47|.319|8|20|.400|13|20|.650|4|22|9|6|2|10|20
16|16|2015-01-07|@|Wisconsin|L|55|62|25|49|.510|2|5|.400|3|7|.429|3|21|10|3|0|12|24||17|39|.436|3|14|.214|25|31|.806|4|21|6|6|4|8|12
17|17|2015-01-10||Maryland|L|60|69|21|57|.368|5|20|.250|13|20|.650|11|34|13|5|4|14|25||18|48|.375|6|20|.300|27|31|.871|8|28|8|10|5|10|22
18|18|2015-01-17|@|Penn State|W (1 OT)|84|77|28|58|.483|10|25|.400|18|29|.621|10|28|18|8|5|16|20||26|56|.464|8|18|.444|17|21|.810|9|27|9|7|3|17|25
19|19|2015-01-21|@|Illinois|L|57|66|24|60|.400|5|21|.238|4|9|.444|9|30|12|4|5|10|18||21|60|.350|3|10|.300|21|24|.875|12|37|13|8|5|9|12
20|20|2015-01-24||Iowa|W|67|63|25|53|.472|4|20|.200|13|23|.565|8|28|19|3|8|5|17||21|64|.328|4|17|.235|17|26|.654|21|41|10|3|2|7|20
21|21|2015-01-28||Indiana|W|83|67|27|46|.587|4|14|.286|25|33|.758|8|31|13|6|10|12|20||25|66|.379|4|19|.211|13|18|.722|13|26|8|9|2|11|26
22|22|2015-01-31|@|Northwestern|W|68|60|21|45|.467|2|9|.222|24|32|.750|7|32|16|5|1|8|12||23|55|.418|6|15|.400|8|11|.727|5|21|9|5|4|8|23
23|23|2015-02-04||Ohio State|W|60|58|19|45|.422|3|12|.250|19|27|.704|10|31|10|7|9|13|16||24|57|.421|4|15|.267|6|9|.667|12|27|12|9|6|12|23
24|24|2015-02-07|@|Minnesota|L|58|62|22|51|.431|11|26|.423|3|5|.600|9|35|16|3|7|23|18||21|53|.396|7|15|.467|13|20|.650|3|22|14|17|2|7|13
25|25|2015-02-12|@|Rutgers|W|61|51|21|52|.404|3|15|.200|16|23|.696|8|28|7|9|5|12|19||18|54|.333|6|14|.429|9|19|.474|10|34|7|4|4|14|21
26|26|2015-02-15||Nebraska|W|66|54|20|52|.385|8|21|.381|18|30|.600|15|40|15|6|3|11|11||22|55|.400|3|16|.188|7|9|.778|6|24|11|6|3|11|22
